30,5,32,8,33,5,33,44 ``
48,9,48,33,49,9,49,39 ``
100,9,100,49,101,9,134,10 ``
136,9,136,33,137,9,141,63 ``
164,17,165,51,166,17,166,62 ``
206,9,206,31,207,9,429,10 ``
223,17,223,65,224,17,224,46 ``
228,17,229,29,230,17,232,104 ``
239,17,239,34,240,17,240,51 ``
248,17,248,57,249,17,296,18 ``
295,21,295,41,296,19,425,18 ``
365,37,365,112,364,33,367,34 ``
487,5,490,8,491,5,493,6 ``
15,5,17,8,18,5,18,37 ``
32,5,37,8,38,5,40,6 ``
46,5,55,8,56,5,107,6 ``
100,13,100,39,101,13,103,14 ``
109,5,115,8,116,5,118,6 ``
