29,5,31,8,32,5,32,39 ``
34,5,36,8,37,4,37,38 ``
39,4,41,8,42,5,54,53 ``
57,5,61,8,62,5,63,34 ``
66,4,70,8,71,4,72,33 ``
78,4,82,8,83,4,88,1 ``
90,13,97,1,90,13,97,1 ``
98,17,98,59,99,17,112,42 ``
126,25,126,60,127,24,150,28 ``
154,24,154,60,155,24,188,1 ``
189,25,189,39,191,20,194,1 ``
195,25,195,80,196,24,197,42 ``
198,34,198,64,199,29,199,74 ``
229,7,229,51,230,8,261,79 ``
263,9,263,37,264,8,305,37 ``
307,17,308,61,309,16,361,37 ``
366,20,391,110,366,20,391,110 ``
399,16,460,81,399,16,460,81 ``
463,24,463,44,464,24,468,43 ``
480,5,489,8,490,5,513,42 ``
517,16,517,30,518,17,518,23 ``
521,17,521,60,522,17,522,23 ``
559,5,566,8,567,5,568,52 ``
