26,4,28,8,29,4,37,22 ``
46,1,48,98,49,8,167,1 ``
168,1,168,65,169,9,175,23 ``
188,9,188,115,189,9,193,23 ``
197,9,197,39,198,9,200,30 ``
203,9,204,93,205,8,207,36 ``
210,8,210,192,211,8,214,39 ``
217,8,217,24,218,9,219,1 ``
220,9,220,22,221,8,225,25 ``
228,3,234,8,235,5,236,84 ``
239,4,245,8,246,4,247,78 ``
250,4,252,8,253,5,254,44 ``
259,9,260,20,259,9,260,20 ``
272,9,275,32,272,9,275,32 ``
17,5,19,8,20,4,24,4 ``
31,9,31,40,32,8,32,56 ``
34,13,34,58,35,13,35,25 ``
47,13,47,49,48,12,52,57 ``
57,4,64,8,65,5,66,1 ``
26,1,29,8,30,5,30,40 ``
32,4,34,8,35,4,35,45 ``
37,5,39,8,40,5,41,1 ``
42,5,44,8,45,3,45,59 ``
47,4,49,8,50,5,51,1 ``
52,4,54,8,55,4,56,1 ``
57,4,59,8,60,4,61,1 ``
62,5,64,8,65,4,128,20 ``
130,1,132,1,132,1,160,29 ``
163,5,167,8,168,5,170,90 ``
172,1,177,8,178,5,179,75 ``
185,8,185,66,186,9,204,22 ``
207,3,211,8,212,4,213,23 ``
216,5,220,8,221,4,226,30 ``
229,5,234,8,235,4,240,35 ``
243,4,248,8,249,5,251,4 ``
253,4,258,3,258,4,259,26 ``
262,5,268,8,269,4,274,26 ``
277,4,283,8,284,4,289,31 ``
292,5,297,8,298,4,299,28 ``
302,4,307,8,308,4,310,48 ``
313,5,317,8,318,5,337,70 ``
340,5,342,8,343,5,344,36 ``
347,5,349,8,350,4,351,36 ``
354,5,358,8,359,3,360,34 ``
