25,4,27,8,28,4,28,54 ``
30,5,32,8,33,5,38,49 ``
41,5,49,8,50,5,59,24 ``
62,8,62,30,63,8,66,4 ``
68,5,72,8,73,4,85,50 ``
91,5,97,8,98,4,126,84 ``
128,4,134,8,135,4,137,47 ``
137,48,138,1,138,1,163,1 ``
164,5,170,8,171,5,197,28 ``
202,5,208,8,209,4,234,28 ``
237,5,242,8,243,4,247,39 ``
250,5,254,8,255,5,258,44 ``
262,5,267,8,268,4,272,38 ``
275,4,279,8,280,5,284,34 ``
287,5,292,8,293,5,293,56 ``
295,9,295,58,296,8,302,1 ``
306,9,306,58,307,9,312,34 ``
315,5,319,8,320,4,324,34 ``
327,5,332,8,333,3,333,66 ``
335,9,335,58,336,9,341,34 ``
344,5,348,8,349,5,354,37 ``
359,4,364,8,365,5,368,21 ``
370,9,370,69,371,8,378,31 ``
381,5,383,8,384,5,384,38 ``
386,5,395,12,386,1,395,15 ``
386,1,395,15,386,5,396,8 ``
386,5,396,8,397,5,412,38 ``
415,5,422,8,423,5,457,26 ``
