44,5,46,8,47,4,105,71 ``
109,4,114,8,115,1,122,50 ``
124,9,124,16,125,7,178,34 ``
181,4,188,8,189,5,194,18 ``
204,4,209,60,204,4,209,60 ``
212,13,212,72,213,12,213,55 ``
223,4,225,8,226,5,231,43 ``
233,7,233,26,234,1,243,77 ``
245,9,245,85,246,9,253,58 ``
254,4,258,8,259,4,299,2 ``
299,13,299,50,301,11,301,41 ``
303,13,303,59,303,13,303,59 ``
303,13,303,59,304,12,349,48 ``
30,5,35,8,36,4,37,70 ``
39,8,40,38,41,8,60,39 ``
63,4,65,8,66,3,123,71 ``
127,5,132,8,133,4,165,1 ``
167,11,167,72,168,13,168,51 ``
201,9,201,26,202,8,211,82 ``
213,9,213,85,214,8,216,44 ``
221,5,226,8,227,3,312,48 ``
