23,9,23,52,26,9,26,37 ``
24,9,25,47,26,9,34,37 ``
26,9,34,37,26,9,34,37 ``
24,9,25,47,26,9,34,37 ``
38,5,40,8,41,5,46,6 ``
50,5,50,76,52,5,52,45 ``
54,5,56,8,57,5,67,6 ``
70,8,70,31,72,1,147,6 `half of the comment - class description`
70,33,70,80,78,9,78,72 `part of the comment, not immediate`
149,5,151,8,152,5,171,6 `immediate func des.`
155,9,155,41,156,9,163,10 ``
165,9,165,53,166,9,170,10 ``
173,5,175,8,176,5,192,6 ``
184,9,184,27,185,9,189,10 ``
194,5,196,8,197,5,218,6 `immediate func des.`
200,13,200,82,201,13,201,31 ``
203,24,203,104,203,17,203,24 ``
205,13,205,51,206,13,216,14 ``
207,33,207,67,207,17,207,32 ``
210,47,210,81,210,17,210,46 ``
220,5,222,8,223,5,231,6 ``
233,5,236,8,237,5,242,6 ``
